Position,Track Name,Artist,Streams,date,region,spotify_id
1,Adan y Eva,Paulo Londra,2360184,2019-01-04--2019-01-11,es,6FyRXC8tJUh863JCkyWqtk
2,MALA,6ix9ine,1798508,2019-01-04--2019-01-11,es,0LQ1J0BCzA2qnAgp9MkkNE
3,Adictiva,Daddy Yankee,1783876,2019-01-04--2019-01-11,es,6MJUCumnQsQEKbCy28tbCP
4,NI BIEN NI MAL,Bad Bunny,1672886,2019-01-04--2019-01-11,es,278kSqsZIiYp8p3QjYAqa8
5,Calma - Remix,Pedro Capó,1560772,2019-01-04--2019-01-11,es,5iwz1NiezX7WWjnCgY5TH4
6,Vas A Quedarte,Aitana,1537545,2019-01-04--2019-01-11,es,2b3JxLi8KAiOsD8ehnOxDZ
7,MIA (feat. Drake),Bad Bunny,1517721,2019-01-04--2019-01-11,es,116H0KvKr2Zl4RPuVBruDO
8,Ella Quiere Beber - Remix,Anuel AA,1508021,2019-01-04--2019-01-11,es,2cYnZNzFRFK0H7vSNxPsUq
9,Booty,C. Tangana,1459718,2019-01-04--2019-01-11,es,4W3FJapn5CD6Fnrlfj4HFe
10,Amanece,Anuel AA,1439930,2019-01-04--2019-01-11,es,1LiN0Z98FkR1t0m8KmLcAH
11,Imposible,Luis Fonsi,1396876,2019-01-04--2019-01-11,es,3ao3OVxHlb3C08vAaApUlm
12,Solo de Mi,Bad Bunny,1290660,2019-01-04--2019-01-11,es,4uP3pUP18ennmz0tb3GphR
13,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1257877,2019-01-04--2019-01-11,es,4w8niZpiMy6qz1mntFA5uM
14,Bubalu,Becky G,1144997,2019-01-04--2019-01-11,es,7dNwJbsT0sg1le5kVugGJb
15,Mujer Bruja,Lola Indigo,1141017,2019-01-04--2019-01-11,es,4R8TsvDoKSSDVERlaphNBA
16,Vaina Loca,Ozuna,1095250,2019-01-04--2019-01-11,es,48zFZh27QU5qsrBjn4C2FA
17,Replay,Maikel Delacalle,1029325,2019-01-04--2019-01-11,es,07w6jp4Fq8GGqhLoDYoVkb
18,Ibiza,Ozuna,1002365,2019-01-04--2019-01-11,es,1h9P5WJwyvK8OB7O2YiXgp
19,Está Rico,Marc Anthony,952152,2019-01-04--2019-01-11,es,2wRkBumdItthjYP9XknImg
20,Lo siento,Beret,941023,2019-01-04--2019-01-11,es,4S6gJt4RYR34t4sjW8wEah
21,MALAMENTE - Cap.1: Augurio,ROSALÍA,936744,2019-01-04--2019-01-11,es,1B0BQaSRHxhI0AUlItY3LK
22,Cuando Te Besé,Becky G,908760,2019-01-04--2019-01-11,es,2XXMDz7SPZ4mSFN1PXfHUy
23,Ta To Gucci (Remix),Cauty,887359,2019-01-04--2019-01-11,es,7kuRvjpeUcn6qNV9IBXC2C
24,Antes de Morirme (feat. Rosalía),C. Tangana,852265,2019-01-04--2019-01-11,es,7aFBy1CBLGnZE1Iv6TvEZE
25,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),Dvicio,834094,2019-01-04--2019-01-11,es,4txQPJDlvU72lC6EMhT7m9
26,Asesina - Remix,Brytiago,817611,2019-01-04--2019-01-11,es,59PYgzOiOjGDzjDT5N5oOX
27,BEBE,6ix9ine,815028,2019-01-04--2019-01-11,es,4KkUjFkcQvGvWekl8RATDn
28,Desde el Corazón,Bad Bunny,796837,2019-01-04--2019-01-11,es,1R2mapMAUiYqre6jcFX57g
29,Reggaeton,J Balvin,765041,2019-01-04--2019-01-11,es,2D3z17LBMJ2HEHeBFFjTLi
30,Culpables,KAROL G,759354,2019-01-04--2019-01-11,es,6q8Lb50EtqNeeJXXe8mMAH
31,TELÉFONO,Aitana,726384,2019-01-04--2019-01-11,es,5h8VHxOBK1VWWj46T8fSly
32,Mocca - Remix,Lalo Ebratt,723177,2019-01-04--2019-01-11,es,1usoXi4f0BnMART4uActEA
33,Desconocidos,Mau y Ricky,697414,2019-01-04--2019-01-11,es,0s5DNDV6LAKn2u2Ufa3VjQ
34,Devuelveme,Ozuna,679365,2019-01-04--2019-01-11,es,5uvucCRBTkxv7VxIDLOqe7
35,Perdón,David Bisbal,671902,2019-01-04--2019-01-11,es,4iCJFRTRsFlj4UWoEd7bS9
36,5 Sentidos,Dvicio,658571,2019-01-04--2019-01-11,es,7chjOPhoxbpRYSrO1rvdnu
37,Cuando Nadie Ve,Morat,657590,2019-01-04--2019-01-11,es,71iAechwVKGu26pahzFL0k
38,PPP,Kevin Roldan,656802,2019-01-04--2019-01-11,es,1DcxnVNFAyVl2sDQ646pXS
39,Bajito,Ana Guerra,649844,2019-01-04--2019-01-11,es,1izomJbkB4nTh5hDLgsBZd
40,Ni La Hora,Ana Guerra,635135,2019-01-04--2019-01-11,es,1he4G9w0zh5GokInpOSINW
41,Créeme,KAROL G,631395,2019-01-04--2019-01-11,es,1mT47pKLXUwPYGwB91GcNz
42,Mujeres,Mozart La Para,613435,2019-01-04--2019-01-11,es,6xLvYhLOW2oETJoZv8ChU8
43,Sin Pijama,Becky G,606615,2019-01-04--2019-01-11,es,2ijef6ni2amuunRoKTlgww
44,A Solas - Remix,Lunay,594850,2019-01-04--2019-01-11,es,3T5QSIgoaPIh07SwixRDp7
45,Déjala Que Baile (with Alejandro Sanz & Arkano),Melendi,594154,2019-01-04--2019-01-11,es,2KK9N6iBAisA0booTu3bGd
46,Celoso,Lele Pons,569360,2019-01-04--2019-01-11,es,33zcmmElV1YbRZe57biUjg
47,Girls Like You (feat. Cardi B),Maroon 5,562597,2019-01-04--2019-01-11,es,7fa9MBXhVfQ8P8Df9OEbD8
48,No Te Preocupes por Mi,Leiva,553964,2019-01-04--2019-01-11,es,2huX4MIVEWQtzCpu6B05SV
49,Usted,Juan Magán,534295,2019-01-04--2019-01-11,es,79HTe42PihWUUq4BDjcuCq
50,Te Boté - Remix,Nio Garcia,518622,2019-01-04--2019-01-11,es,3V8UKqhEK5zBkBb6d6ub8i
51,Tanta Falta,Bryant Myers,504549,2019-01-04--2019-01-11,es,0sPTfDSZgE3KvcvqaKPtEx
52,Good Vibes,Fuego,503254,2019-01-04--2019-01-11,es,4TwIbmabI2R5XUhqptk6Ev
53,Mejor Que Tú,Aitana,500559,2019-01-04--2019-01-11,es,7Kn8yBD9hk8zJtgMQQrTKV
54,PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,498415,2019-01-04--2019-01-11,es,5r8mGKhCDIVWb3AG4hm0l0
55,"thank u, next",Ariana Grande,484598,2019-01-04--2019-01-11,es,2rPE9A1vEgShuZxxzR2tZH
56,Luz Apaga,Ozuna,476309,2019-01-04--2019-01-11,es,5Q3e16qE1RE5oilN3ukasm
57,Bohemian Rhapsody - Remastered 2011,Queen,455144,2019-01-04--2019-01-11,es,7tFiyTwD0nx5a1eklYtX2J
