Position,Track Name,Artist,Streams,date,region,spotify_id
1,Shape of You,Ed Sheeran,76164,2017-01-06--2017-01-13,gr,7qiZfU4dY1lWllzX7mPBI3
2,Castle on the Hill,Ed Sheeran,37779,2017-01-06--2017-01-13,gr,6PCUP3dWmTjcTtXY02oFdT
3,Starboy,The Weeknd,34824,2017-01-06--2017-01-13,gr,5aAx2yezTd8zXrkmtKl66Z
4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,24781,2017-01-06--2017-01-13,gr,3NdDpSvN911VPGivFlV5d0
5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,22380,2017-01-06--2017-01-13,gr,5knuzwU65gJK7IF5yJsuaW
6,Fake Love,Drake,18957,2017-01-06--2017-01-13,gr,343YBumqHu19cGoGARUTsd
7,Closer,The Chainsmokers,18190,2017-01-06--2017-01-13,gr,7BKLCZ1jbUBVqRi2FVlTVw
8,I Feel It Coming,The Weeknd,18044,2017-01-06--2017-01-13,gr,5GXAXm5YOmYT0kL5jHvYBt
9,Let Me Love You,DJ Snake,17855,2017-01-06--2017-01-13,gr,4pdPtRcBmOSQDlJ3Fk945m
10,Don't Wanna Know,Maroon 5,16972,2017-01-06--2017-01-13,gr,5MFzQMkrl1FOOng9tq6R9r
11,Call On Me - Ryan Riback Extended Remix,Starley,16356,2017-01-06--2017-01-13,gr,78rIJddV4X0HkNAInEcYde
12,Black Beatles,Rae Sremmurd,15694,2017-01-06--2017-01-13,gr,6fujklziTHa8uoM5OQSfIo
13,One Dance,Drake,15001,2017-01-06--2017-01-13,gr,1xznGGDReH1oQq0xzbwXa3
14,Say You Won't Let Go,James Arthur,14963,2017-01-06--2017-01-13,gr,5uCax9HTNlzGybIStD3vDh
15,24K Magic,Bruno Mars,14085,2017-01-06--2017-01-13,gr,6b8Be6ljOzmkOmFslEb23P
16,Chantaje (feat. Maluma),Shakira,14067,2017-01-06--2017-01-13,gr,6mICuAdrwEjh6Y6lroV2Kg
17,Just Hold On,Steve Aoki,14046,2017-01-06--2017-01-13,gr,3EmmCZoqpWOTY1g2GBwJoR
18,Side To Side,Ariana Grande,13459,2017-01-06--2017-01-13,gr,4pLwZjInHj3SimIyN9SnOz
19,Bad Things (with Camila Cabello),Machine Gun Kelly,12965,2017-01-06--2017-01-13,gr,1PSBzsahR2AKwLJgx8ehBj
20,Mercy,Shawn Mendes,12469,2017-01-06--2017-01-13,gr,4TZy1wLyHec06pwgFYDh1a
21,Treat You Better,Shawn Mendes,12115,2017-01-06--2017-01-13,gr,4Hf7WnR761jpxPr5D46Bcd
22,In the Name of Love,Martin Garrix,12111,2017-01-06--2017-01-13,gr,04DwTuZ2VBdJCCC5TROn7L
23,Heathens,Twenty One Pilots,12056,2017-01-06--2017-01-13,gr,6i0V12jOa3mr6uu4WYhUBr
24,Bad and Boujee (feat. Lil Uzi Vert),Migos,12051,2017-01-06--2017-01-13,gr,4Km5HrUvYTaSUfiSGPJeQR
25,Party Monster,The Weeknd,12006,2017-01-06--2017-01-13,gr,4F7A0DXBrmUAkp32uenhZt
26,Cold Water (feat. Justin Bieber & MØ),Major Lazer,11916,2017-01-06--2017-01-13,gr,6DNtNfH8hXkqOX1sjqmI7p
27,All We Know,The Chainsmokers,11871,2017-01-06--2017-01-13,gr,2rizacJSyD9S1IQUxUxnsK
28,Human,Rag'n'Bone Man,11714,2017-01-06--2017-01-13,gr,58zsLZPvfflaiIbNWoA22O
29,All Night,The Vamps,11295,2017-01-06--2017-01-13,gr,1yNyoWWWikbLhwIGWjZuDW
30,Now and Later,Sage The Gemini,10875,2017-01-06--2017-01-13,gr,43jBqV3j3Xi1g6wO0bhIMd
31,I Would Like,Zara Larsson,10839,2017-01-06--2017-01-13,gr,4Q4jmPHwu0wrJvqrld0FQ6
32,Don't Let Me Down (feat. Daya),The Chainsmokers,10521,2017-01-06--2017-01-13,gr,0QsvXIfqM0zZoerQfsI9lm
33,Photograph,Ed Sheeran,10223,2017-01-06--2017-01-13,gr,6fxVffaTuwjgEk5h9QyRjy
34,"How Far I'll Go - From ""Moana""",Alessia Cara,10127,2017-01-06--2017-01-13,gr,5hYTyyh2odQKphUbMqc5gN
35,Love Me Now,John Legend,10083,2017-01-06--2017-01-13,gr,6nxQdXa1uAL0rY72wPZu89
36,Scars To Your Beautiful,Alessia Cara,9721,2017-01-06--2017-01-13,gr,0prNGof3XqfTvNDxHonvdK
37,Starving,Hailee Steinfeld,9714,2017-01-06--2017-01-13,gr,1qOLh0tI7trd1zdDKxYZTe
38,Cheap Thrills,Sia,9698,2017-01-06--2017-01-13,gr,27SdWb2rFzO6GWiYDBTD9j
39,All Time Low,Jon Bellion,9615,2017-01-06--2017-01-13,gr,1CnPYaKxTVb4LWOtiGOm0m
40,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,9465,2017-01-06--2017-01-13,gr,68EMU2RD1ECNeOeJ5qAXCV
41,By Your Side,Jonas Blue,9394,2017-01-06--2017-01-13,gr,1D3ODoXHBLpdxolZRHWV1j
42,Shed a Light,Robin Schulz,9093,2017-01-06--2017-01-13,gr,1cG0umU5TKStygKsPFZ9pY
43,I Got You,Bebe Rexha,8881,2017-01-06--2017-01-13,gr,1FUViuNSldssMIawrOXF2i
44,Sidewalks,The Weeknd,8634,2017-01-06--2017-01-13,gr,4h90qkbnW1Qq6pBhoPvwko
45,Weak,AJR,8599,2017-01-06--2017-01-13,gr,3E2Zh20GDCR9B1EYjfXWyv
46,My Way,Calvin Harris,8551,2017-01-06--2017-01-13,gr,1vvNmPOiUuyCbgWmtc6yfm
47,Hear Me Now,Alok,8294,2017-01-06--2017-01-13,gr,1a5Yu5L18qNxVhXx38njON
48,Six Feet Under,The Weeknd,8284,2017-01-06--2017-01-13,gr,4mU5iXHeLgbR94siF7p1sY
49,Sunset Lover,Petit Biscuit,8034,2017-01-06--2017-01-13,gr,0hNduWmlWmEmuwEFcYvRu1
50,Panda,Desiigner,8006,2017-01-06--2017-01-13,gr,5OOkp4U9P9oL23maHFHL1h
51,Thinking out Loud,Ed Sheeran,7524,2017-01-06--2017-01-13,gr,1Slwb6dOYkBlWal1PGtnNg
52,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,7423,2017-01-06--2017-01-13,gr,6JV2JOEocMgcZxYSZelKcc
53,The Mack,Nevada,7197,2017-01-06--2017-01-13,gr,7aV2mflaASUmGhCErm7kBO
54,Solo Dance,Martin Jensen,6998,2017-01-06--2017-01-13,gr,6HUnnBwYZqcED1eQztxMBN
55,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,6879,2017-01-06--2017-01-13,gr,7yyRTcZmCiyzzJlNzGC9Ol
56,The Greatest (feat. Kendrick Lamar),Sia,6877,2017-01-06--2017-01-13,gr,7xHWNBFm6ObGEQPaUxHuKO
57,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,6845,2017-01-06--2017-01-13,gr,40UroIGvsMPLPBYwH8rMNA
58,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,6658,2017-01-06--2017-01-13,gr,17Fd6Yb7mSbinKG8LoWfFl
59,Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,6374,2017-01-06--2017-01-13,gr,2wDjpPW3HZdA9quPPmZAMu
60,Lighthouse - Andrelli Remix,Hearts & Colors,6303,2017-01-06--2017-01-13,gr,04CttTezSnv71USiiG9mIo
61,Stressed Out,Twenty One Pilots,6284,2017-01-06--2017-01-13,gr,3CRDbSIZ4r5MsZ0YwxuEkn
62,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,6243,2017-01-06--2017-01-13,gr,4dASQiO1Eoo3RJvt74FtXB
63,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,6224,2017-01-06--2017-01-13,gr,4tCtwWceOPWzenK2HAIJSb
64,Lot to Learn,Luke Christopher,6064,2017-01-06--2017-01-13,gr,3TRFq09DUgYj1mug6RRqJW
65,Some Kind Of Drug (feat. Marc E. Bassy),G-Eazy,6031,2017-01-06--2017-01-13,gr,1Bqxj0aH5KewYHKUg1IdrF
66,Not Going Home (feat. Gia Koka),DVBBS,5855,2017-01-06--2017-01-13,gr,042x9bsUBWW2fJgJ6fUh61
67,Die For You,The Weeknd,5799,2017-01-06--2017-01-13,gr,2LBqCSwhJGcFQeTHMVGwy3
68,This Is What You Came For (feat. Rihanna),Calvin Harris,5782,2017-01-06--2017-01-13,gr,0azC730Exh71aQlOt9Zj3y
69,Caroline,Aminé,5743,2017-01-06--2017-01-13,gr,5GFDrUTLGJix84sNhjCG0g
70,Setting Fires,The Chainsmokers,5718,2017-01-06--2017-01-13,gr,0B8B8cVRFIG1yznoQe7c9s
71,Make Me (Cry),Noah Cyrus,5703,2017-01-06--2017-01-13,gr,2BrzlUj1u1CtvaJDGIKpsP
72,"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling,5649,2017-01-06--2017-01-13,gr,0LtVx5vsq9nfpGsWgjUin6
73,Too Good,Drake,5597,2017-01-06--2017-01-13,gr,11KJSRSgaDxqydKYiD2Jew
74,Bounce Back,Big Sean,5566,2017-01-06--2017-01-13,gr,0SGkqnVQo9KPytSri1H6cF
75,Light,San Holo,5557,2017-01-06--2017-01-13,gr,7zTx8ePYAmPFQuxP3xlXZn
76,Alli Mia Efkeria,Pantelis Pantelidis,5456,2017-01-06--2017-01-13,gr,0jRcwtTkpoGPAlhdHMYHaJ
77,The A Team,Ed Sheeran,5431,2017-01-06--2017-01-13,gr,1VdZ0vKfR5jneCmWIUAMxK
78,Reminder,The Weeknd,5360,2017-01-06--2017-01-13,gr,37F0uwRSrdzkBiuj0D5UHI
79,Ride,Twenty One Pilots,5324,2017-01-06--2017-01-13,gr,2Z8WuEywRWYTKe1NybPQEW
80,Needed Me,Rihanna,5291,2017-01-06--2017-01-13,gr,1Tt4sE4pXi57mTD1GCzsqm
81,Water Under the Bridge,Adele,5203,2017-01-06--2017-01-13,gr,4vb4mFvYsr2h6enhjJsq9Y
82,Hymn for the Weekend - Seeb Remix,Coldplay,5195,2017-01-06--2017-01-13,gr,1OAiWI2oPmglaOiv9fdioU
83,Alone,Alan Walker,5182,2017-01-06--2017-01-13,gr,0JiVRyTJcJnmlwCZ854K4p
84,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,5085,2017-01-06--2017-01-13,gr,3B7udSGy2PfgoCniMSb523
85,Don't,Ed Sheeran,5020,2017-01-06--2017-01-13,gr,6gTJaPuj8DT8RjuDJyBgzP
86,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,5007,2017-01-06--2017-01-13,gr,0L7loeTIg6akW84aEQZpCT
87,Into You,Ariana Grande,4981,2017-01-06--2017-01-13,gr,7yHEDfrJNd0zWOfXwydNH0
88,Work,Rihanna,4970,2017-01-06--2017-01-13,gr,14WWzenpaEgQZlqPq2nk4v
89,Rockin’,The Weeknd,4931,2017-01-06--2017-01-13,gr,36YCdzT57us0LhDmCYtrNE
90,Ain't My Fault,Zara Larsson,4922,2017-01-06--2017-01-13,gr,0ADG9OgdVTL7fgREP75BrZ
91,It's Gotta Be You,Isaiah Firebrace,4889,2017-01-06--2017-01-13,gr,6cAKeFFYW2aClZSUyvqAEW
92,Lost on You,LP,4877,2017-01-06--2017-01-13,gr,3SqvR3HYLlCTYzbDXJ52OC
93,Controlla,Drake,4853,2017-01-06--2017-01-13,gr,6F609ICg9Spjrw1epsAnpa
94,Dynamite (feat. Pretty Sister),Nause,4845,2017-01-06--2017-01-13,gr,2Ae5awwKvQpTBKQHr1TYCg
95,Love Yourself,Justin Bieber,4811,2017-01-06--2017-01-13,gr,3hB5DgAiMAQ4DzYbsMq1IT
96,Jumpman,Drake,4712,2017-01-06--2017-01-13,gr,27GmP9AWRs744SzKcpJsTZ
97,Oh Lord,MiC LOWRY,4627,2017-01-06--2017-01-13,gr,1sTUEdVO85YU8Ymk2jeAls
98,Cake - Challenge Version,Flo Rida,4614,2017-01-06--2017-01-13,gr,6t2ubAB4iSYOuIpRAOGd4t
99,Faded,Alan Walker,4559,2017-01-06--2017-01-13,gr,7gHs73wELdeycvS48JfIos
100,Είναι Κάτι Λαϊκά,Nikos Oikonomopoulos,4481,2017-01-06--2017-01-13,gr,2T6nXlX0TP5RsZGLRfuf3t
101,"Me, Myself & I",G-Eazy,4424,2017-01-06--2017-01-13,gr,40YcuQysJ0KlGQTeGUosTC
102,Taped up Heart (feat. Clara Mae),KREAM,4414,2017-01-06--2017-01-13,gr,26hcyzSE154xMZCbFdtInA
103,True Colors,The Weeknd,4405,2017-01-06--2017-01-13,gr,6i759FCuKx713ZnYjtpQGU
104,Secrets,The Weeknd,4337,2017-01-06--2017-01-13,gr,3DX4Y0egvc0slLcLl31h2p
105,Way down We Go,KALEO,4327,2017-01-06--2017-01-13,gr,0y1QJc3SJVPKJ1OvFmFqe6
106,Fast Car,Jonas Blue,4317,2017-01-06--2017-01-13,gr,6OZh916QF8XNunWaP97WEZ
107,Sneakin’,Drake,4304,2017-01-06--2017-01-13,gr,4ckuS4Nj4FZ7i3Def3Br8W
108,The Hills,The Weeknd,4300,2017-01-06--2017-01-13,gr,25khomWgBVamSdKw7hzm3l
109,False Alarm,The Weeknd,4286,2017-01-06--2017-01-13,gr,32lgtADX2cB9I4KFs1Y1py
110,All I Know,The Weeknd,4233,2017-01-06--2017-01-13,gr,0NWqNXBJTpXbkI5rPWNy3p
111,"Another Day Of Sun - From ""La La Land"" Soundtrack",La La Land Cast,4214,2017-01-06--2017-01-13,gr,0zCfmceT1YvtZXGbR6Roht
112,Somebody Else,VÉRITÉ,4134,2017-01-06--2017-01-13,gr,34i4yxPrHWquuR4kjiivFO
113,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,4132,2017-01-06--2017-01-13,gr,1lItf5ZXJc1by9SbPeljFd
114,Perfect Strangers,Jonas Blue,4128,2017-01-06--2017-01-13,gr,1CUVN2kn7mW5FjkqXTR2W1
115,Don't Leave,Snakehips,4084,2017-01-06--2017-01-13,gr,0Zx8khUcEfCFK2AEoIhC92
116,Miss You,James Hersey,4051,2017-01-06--2017-01-13,gr,7of1slAJIWrXxP8ikAHxje
117,Send My Love (To Your New Lover),Adele,4033,2017-01-06--2017-01-13,gr,4BHzQ9C00ceJxfG16AlNWb
118,Tenerife Sea,Ed Sheeran,3977,2017-01-06--2017-01-13,gr,6vSwxzO2Qf4BinHSXRwZJe
119,Cake By The Ocean,DNCE,3957,2017-01-06--2017-01-13,gr,2aFiaMXmWsM3Vj72F9ksBl
120,Sorry,Justin Bieber,3952,2017-01-06--2017-01-13,gr,69bp2EbF7Q2rqc5N3ylezZ
121,Give Me Love,Ed Sheeran,3889,2017-01-06--2017-01-13,gr,0SuG9kyzGRpDqrCWtgD6Lq
122,Nothing Without You,The Weeknd,3786,2017-01-06--2017-01-13,gr,3Te3gG6MPEDNqLGzWrjKC3
