Position,Track Name,Artist,date,region,spotify_id
1,Una Mierda como Un Castillo,Anntona,2017-01-01,es,5hRzeXfIh4WYHjH6flVG0n
2,Last Christmas,Wham!,2017-01-01,es,2FRnf9qhLbvw8fu4IBXx78
3,La gallina Co-co-ua,Enrique Y Ana,2017-01-01,es,3fvMaybsEUfAVaVWa0Pa23
4,Freedom! '90,George Michael,2017-01-01,es,1D6nV9TPfMnWm7UdVsDVfI
5,Faith - Remastered,George Michael,2017-01-01,es,0HEmnAUT8PHznIAAmVXqFJ
6,Careless Whisper,George Michael,2017-01-01,es,4jDmJ51x1o9NZB5Nxxc7gY
7,Jesus to a Child,George Michael,2017-01-01,es,2SzCxX6M6vDwdEwnHDiTaY
8,Yuri on ICE,Taro Umebayashi,2017-01-01,es,4u4t9R8Iky417ZasENaKXX
9,Are You Sure? (feat. Ty Dolla $ign),Kris Kross Amsterdam,2017-01-01,es,0fH86zQcE2CmATQju6WpXv
10,Senza Un Perché,Nada,2017-01-01,es,21S6EicU7LXhS4ampzsOAQ
11,Deu Onda,MC G15,2017-01-01,es,0EPxmvsG1BY5td4aTOkWBF
12,Baby Just Hold On,Royal Bliss,2017-01-01,es,2vXBudVi6vrYystOR9hFgM
13,Another Day Of Sun,La La Land Cast,2017-01-01,es,5kRBzRZmZTXVg8okC7SJFZ
14,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,2017-01-01,es,5q2JbCNi4FcnglgPfxcV65
15,Human,Rag'n'Bone Man,2017-01-01,es,3erAiWBiKsbVG39cqCrsI0
16,Last Christmas,Dirk Bergmann,2017-01-01,es,6XNPfvNwufWNOEsQCx7Oq9
17,Grease,Flo Morrissey,2017-01-01,es,6mAtDhj3Q4Q1Qk26oQhlMH
18,Kissing a Fool - Remastered,George Michael,2017-01-01,es,1sEGwuvScFU2uNzlI7Aepy
19,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-01,es,5knuzwU65gJK7IF5yJsuaW
20,5 fine frøkner,Gabrielle,2017-01-01,es,2tFgv3sLFNc088KLtjxzVa
21,Vía de Escape - Acústico,Bely Basarte,2017-01-01,es,5inRi2KtPWXVLuhBVMRwZ6
22,It's Gotta Be You,Isaiah Firebrace,2017-01-01,es,6cAKeFFYW2aClZSUyvqAEW
23,Aguacero,Kika,2017-01-01,es,7K6nrbWu7z7JKs3jxLbcFp
24,Woman's World,Gia,2017-01-01,es,2YgFFAEBg98bgWNFXMRWFs
25,Stay With Me,CHANYEOL,2017-01-01,es,1HYzRuWjmS9LXCkdVHi25K
