Position,Track Name,Artist,date,region,spotify_id
1,Careless Whisper,George Michael,2017-01-01,it,4jDmJ51x1o9NZB5Nxxc7gY
2,Tranquilla!,Fabrizio Vidale,2017-01-01,it,7D64ejn2d3g6QaahkYdKXH
3,Jesus to a Child,George Michael,2017-01-01,it,2SzCxX6M6vDwdEwnHDiTaY
4,Faith - Remastered,George Michael,2017-01-01,it,0HEmnAUT8PHznIAAmVXqFJ
5,Freedom! '90,George Michael,2017-01-01,it,1D6nV9TPfMnWm7UdVsDVfI
6,Quella te,Gazzelle,2017-01-01,it,3e1YRgHajjvfWm2zqTHX9Y
7,Amazing,George Michael,2017-01-01,it,0hsrqeudoR9Kymm7RNiVoq
8,Don't Let The Sun Go Down On Me,Elton John,2017-01-01,it,6YFbJW9ieQHClBf9nFnAd2
9,Last Christmas,Dirk Bergmann,2017-01-01,it,6XNPfvNwufWNOEsQCx7Oq9
10,Svapo in Panda - Cloudpuffchasing Mix,DJ/SVAPO,2017-01-01,it,2XxSAINbimCWm7zR4icyjS
11,La strada di casa,Luca Velletri,2017-01-01,it,1fccFmoMJrZMLUg7OdVfgP
12,Father Figure - Remastered,George Michael,2017-01-01,it,0L0T4tMAaGqLgIVj1MOj9t
13,hate u love u,Olivia O'Brien,2017-01-01,it,08wURIBZsaN1sCIDewNdrX
14,Liberami dal male,Axos,2017-01-01,it,3UDqySuRgaCcvYT9xUEErr
15,Wait For Me,Luca D'Alberto,2017-01-01,it,3rJdnIgX9rDoRJ5zx0xtTB
16,Io sono Vaiana,Angela Finocchiaro,2017-01-01,it,5XnwjhTrvORVUNyd6Hvj9s
17,Logo Te Pate,Olivia Foa'i,2017-01-01,it,29GNq0bPjVrqpISQGwj8Yx
18,Il codice della bellezza,Samuel,2017-01-01,it,1wIbhn8CAONijj5d6WL5Ct
19,As,Mary J. Blige,2017-01-01,it,0n54sUPK9qGCugMEXd209k
20,Romances,Amity Cadet,2017-01-01,it,1RiKbwqb2O03JT7Bu3dIr2
21,"Fastlove, Pt. 1",George Michael,2017-01-01,it,6SaeXxdt0Id6ZzmX0ZGTQK
22,One More Try - Remastered,George Michael,2017-01-01,it,5932kbyNt445gDTT2chRUS
23,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2017-01-01,it,5knuzwU65gJK7IF5yJsuaW
24,Somebody to Love,George Michael,2017-01-01,it,1kn8Jj0i9IwyO3yDgDyUSR
25,Flawless (Go to the City),George Michael,2017-01-01,it,6HwgNXpldZ0WfY4kzJgexr
26,A Short Love Story,Somewhere Anywhere,2017-01-01,it,6yi56JNg3XOFzqPL6zrtTx
27,Une miss s'immisce,Exotica,2017-01-01,it,403esU4m7Hj6h052uy8rLk
28,Hell.o,Lenny,2017-01-01,it,0VvwmisQKlu1zqmANZTrDb
29,Cowboys and Angels,George Michael,2017-01-01,it,6DUOwZrTtDdIUWdhcwtmMb
30,A Different Corner,George Michael,2017-01-01,it,6khoye7kysa6cLGY0AO9dO
31,Gece Gölgenin Rahatına Bak,Çağatay Akman,2017-01-01,it,4OENL87N5IgxtV6JplR5fe
32,Fuck tomorrow (feat. Rkomi),Night Skinny,2017-01-01,it,5YJDO5HXkSJPckrr3U780H
33,Roxanne - Live,George Michael,2017-01-01,it,7C5bhYLrvyRem9tUsZBj2X
34,Are You Sure? (feat. Ty Dolla $ign),Kris Kross Amsterdam,2017-01-01,it,0fH86zQcE2CmATQju6WpXv
35,Panther Like a Panther (Miracle Mix) (feat. Trina),Run The Jewels,2017-01-01,it,0URhioon26PogQkIAHCUK4
36,Remember,Not For Us,2017-01-01,it,5GwPFXPHARViQWglTtknpS
37,December Song (I Dreamed Of Christmas),George Michael,2017-01-01,it,2I6IeSyW701c7OP82Juhvo
38,I Can't Make You Love Me,George Michael,2017-01-01,it,2w4a4ur2uRf530cbzyTlWo
39,Spinning the Wheel,George Michael,2017-01-01,it,4V4Ur4PJskr5vR2ek8VHWw
40,Co-Pilot,Exale,2017-01-01,it,0xEdWcdngowM823EW2UMwH
41,Freeek! '04,George Michael,2017-01-01,it,6hoj2fpD27ELoVe2aK4fom
42,La verità - Spotify Edit,Brunori Sas,2017-01-01,it,27CeAw9CttzOV1PyzRdWps
43,Careless Whisper,George Michael,2017-01-01,it,6KsgCYcZKPcBRDNGhiZWRR
44,I Knew You Were Waiting (For Me),George Michael,2017-01-01,it,0f6pHbsLzpWxl5CfhOUjBA
45,I Feel It Coming,The Weeknd,2017-01-01,it,4RepvCWqsP6zBuzvwYibAS
46,Older,George Michael,2017-01-01,it,1oMNeGkqwyEOLMUTrgdIr2
