Position,Track Name,Artist,date,region,spotify_id
1,Falling,Trevor Daniel,2020-01-01,gr,4TnjEaWOeW0eKTKIEvJyCa
2,No Idea,Don Toliver,2020-01-01,gr,3VyjsVV24RmBIbWJAeUJNu
3,Vgazei Story,Sele,2020-01-01,gr,7IqAw0ffDEuOBxImNdInvp
4,The Box,Roddy Ricch,2020-01-01,gr,0nbXyq5TXYPCO7pr3N8S4I
5,Roses - Imanbek Remix,SAINt JHN,2020-01-01,gr,24Yi9hE78yPEbZ4kxyoXAI
6,My Oh My (feat. DaBaby),Camila Cabello,2020-01-01,gr,3yOlyBJuViE2YSGn3nVE1K
7,Oxi Simera,LEX,2020-01-01,gr,0dD17UWACV5aYTyeS6af1k
8,Ayy Macarena,Tyga,2020-01-01,gr,6LcauUZjF1eXQrgqMUecHX
9,Drugs N Roses,Pepe Frantik,2020-01-01,gr,5WXpYhtjZd4XJ6zrndMNYT
10,Blinding Lights,The Weeknd,2020-01-01,gr,0sf12qNH5qcw8qpgymFOqD
11,everything i wanted,Billie Eilish,2020-01-01,gr,3ZCTVFBt2Brf31RLEnCkWJ
12,Adore You,Harry Styles,2020-01-01,gr,3jjujdWJ72nww5eGnfs2E7
13,Mahragan Laa,El Sawareekh,2020-01-01,gr,5R7fmcilTVIIDfGZwYG1lp
14,ROXANNE,Arizona Zervas,2020-01-01,gr,696DnlkuDOXcMAnKlTgXXK
15,I Efta Nani Sto S/S Cyrenia - Remastered,Thanos Mikroutsikos,2020-01-01,gr,5UgXDEHfPCjHBFdy4zWfVD
16,In Greece We Trap,Moose,2020-01-01,gr,2StcANxwpmrm5JdaFsbg1j
17,Suicidal,YNW Melly,2020-01-01,gr,1iSqfoUFnQwV0QW1EfUit8
18,HIGHEST IN THE ROOM,Travis Scott,2020-01-01,gr,3eekarcy7kvN4yt5ZFzltW
19,Se Dio Mono Matia,Anastasios Rammos,2020-01-01,gr,1lOe7FYbQErFbABpiu5hiU
20,Heartless,The Weeknd,2020-01-01,gr,57vxBYXtHMk6H1aD29V7PU
21,Say So,Doja Cat,2020-01-01,gr,3Dv1eDb0MEgF93GpLXlucZ
22,Let Me Know (I Wonder Why Freestyle),Juice WRLD,2020-01-01,gr,3wwo0bJvDSorOpNfzEkfXx
23,Stavros Tou Notou,Thanos Mikroutsikos,2020-01-01,gr,7FAlkVL0I2Pimq5t50mZnr
24,Dance Monkey,Tones And I,2020-01-01,gr,1rgnBhdG2JDFTbYkYRZAku
25,Amartolos,Sakis Rouvas,2020-01-01,gr,329rW1V2PBgCkvU6VyGvHG
26,If the World Was Ending - feat. Julia Michaels,JP Saxe,2020-01-01,gr,2kJwzbxV2ppxnQoYw4GLBZ
27,I Pio Diskoli Xronia,Zoro&Buzz,2020-01-01,gr,0actG0lETe877pkavIJTMg
28,UP THE SMOKE (with Offset),Stunna 4 Vegas,2020-01-01,gr,09TZsMHXEtQkdmMJZPLKup
29,Don't Start Now,Dua Lipa,2020-01-01,gr,6WrI0LAC5M1Rw2MnX2ZvEg
30,Μου Λείπεις,Marseaux,2020-01-01,gr,23Q5zDQKYCovrsncSgMuq6
31,Maniac,Conan Gray,2020-01-01,gr,7hpJ9tATWb2vztlq99hERP
32,BOP,DaBaby,2020-01-01,gr,6Ozh9Ok6h4Oi1wUSLtBseN
33,Watermelon Sugar,Harry Styles,2020-01-01,gr,6UelLqGlWMcVH1E5c4H7lY
34,HIP,MAMAMOO,2020-01-01,gr,24nK8tW7Pt3Inh2utttuoG
35,Hustla,Mad Clip,2020-01-01,gr,6qz9ENCPWflD7aAeltENLV
36,Yellow Hearts,Ant Saunders,2020-01-01,gr,2W4yABdLc4Jnds67Poi5Nl
37,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-01-01,gr,0Q2n5yzl2XRqYbV77tZNYp
38,Death,Trippie Redd,2020-01-01,gr,3Kd6Wp3lG5HXMB2dlvuy7y
39,Before You Go,Lewis Capaldi,2020-01-01,gr,2gMXnyrvIjhVBUZwvLZDMP
40,κόρη.,Marseaux,2020-01-01,gr,2Hq0RL4rJJ6HAGGQApIYc8
41,Dior,Pop Smoke,2020-01-01,gr,79s5XnCN4TJKTVMSmOx8Ep
42,To Mahairi,Thanos Mikroutsikos,2020-01-01,gr,27IJhSIv1glktPwcPpGVDo
43,Να 'σαι Καλά,Marseaux,2020-01-01,gr,7H4pzNYQYzO7dGszslkWDr
44,Ένα Κολιέ από Κοχύλια,Marseaux,2020-01-01,gr,77dhlLOM6bk45AwzCvnj1x
45,Ena Lepto,Christos Mastoras,2020-01-01,gr,16KYH9f17z1QJ6s5G8XEZy
46,Lucid Dreams,Juice WRLD,2020-01-01,gr,285pBltuF7vW8TeWk8hdRR
47,Colpo Grosso,SNIK,2020-01-01,gr,4lCwnBZurX0OIqMKBOHRlS
48,ORANGE SODA,Baby Keem,2020-01-01,gr,5FkoSXiJPKTNyYgALRJFhD
49,Lottery (Renegade),K CAMP,2020-01-01,gr,4dZTZbmJBCCofAExHwefda
50,Eimai Edw,Negros Tou Moria,2020-01-01,gr,3QKLfMnZS1VZg5dMal1539
1,Falling,Trevor Daniel,2020-01-02,gr,4TnjEaWOeW0eKTKIEvJyCa
2,No Idea,Don Toliver,2020-01-02,gr,3VyjsVV24RmBIbWJAeUJNu
3,Vgazei Story,Sele,2020-01-02,gr,7IqAw0ffDEuOBxImNdInvp
4,The Box,Roddy Ricch,2020-01-02,gr,0nbXyq5TXYPCO7pr3N8S4I
5,Roses - Imanbek Remix,SAINt JHN,2020-01-02,gr,24Yi9hE78yPEbZ4kxyoXAI
6,My Oh My (feat. DaBaby),Camila Cabello,2020-01-02,gr,3yOlyBJuViE2YSGn3nVE1K
7,Oxi Simera,LEX,2020-01-02,gr,0dD17UWACV5aYTyeS6af1k
8,Blinding Lights,The Weeknd,2020-01-02,gr,0sf12qNH5qcw8qpgymFOqD
9,Ayy Macarena,Tyga,2020-01-02,gr,6LcauUZjF1eXQrgqMUecHX
10,Drugs N Roses,Pepe Frantik,2020-01-02,gr,5WXpYhtjZd4XJ6zrndMNYT
11,Adore You,Harry Styles,2020-01-02,gr,3jjujdWJ72nww5eGnfs2E7
12,everything i wanted,Billie Eilish,2020-01-02,gr,3ZCTVFBt2Brf31RLEnCkWJ
13,Mahragan Laa,El Sawareekh,2020-01-02,gr,5R7fmcilTVIIDfGZwYG1lp
14,Say So,Doja Cat,2020-01-02,gr,3Dv1eDb0MEgF93GpLXlucZ
15,In Greece We Trap,Moose,2020-01-02,gr,2StcANxwpmrm5JdaFsbg1j
16,I Efta Nani Sto S/S Cyrenia - Remastered,Thanos Mikroutsikos,2020-01-02,gr,5UgXDEHfPCjHBFdy4zWfVD
17,Suicidal,YNW Melly,2020-01-02,gr,1iSqfoUFnQwV0QW1EfUit8
18,HIGHEST IN THE ROOM,Travis Scott,2020-01-02,gr,3eekarcy7kvN4yt5ZFzltW
19,ROXANNE,Arizona Zervas,2020-01-02,gr,696DnlkuDOXcMAnKlTgXXK
20,Se Dio Mono Matia,Anastasios Rammos,2020-01-02,gr,1lOe7FYbQErFbABpiu5hiU
21,Heartless,The Weeknd,2020-01-02,gr,57vxBYXtHMk6H1aD29V7PU
22,Stavros Tou Notou,Thanos Mikroutsikos,2020-01-02,gr,7FAlkVL0I2Pimq5t50mZnr
23,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-01-02,gr,0Q2n5yzl2XRqYbV77tZNYp
24,Amartolos,Sakis Rouvas,2020-01-02,gr,329rW1V2PBgCkvU6VyGvHG
25,Dance Monkey,Tones And I,2020-01-02,gr,1rgnBhdG2JDFTbYkYRZAku
26,Let Me Know (I Wonder Why Freestyle),Juice WRLD,2020-01-02,gr,3wwo0bJvDSorOpNfzEkfXx
27,I Pio Diskoli Xronia,Zoro&Buzz,2020-01-02,gr,0actG0lETe877pkavIJTMg
28,If the World Was Ending - feat. Julia Michaels,JP Saxe,2020-01-02,gr,2kJwzbxV2ppxnQoYw4GLBZ
29,Maniac,Conan Gray,2020-01-02,gr,7hpJ9tATWb2vztlq99hERP
30,Don't Start Now,Dua Lipa,2020-01-02,gr,6WrI0LAC5M1Rw2MnX2ZvEg
31,Μου Λείπεις,Marseaux,2020-01-02,gr,23Q5zDQKYCovrsncSgMuq6
32,Death,Trippie Redd,2020-01-02,gr,3Kd6Wp3lG5HXMB2dlvuy7y
33,BOP,DaBaby,2020-01-02,gr,6Ozh9Ok6h4Oi1wUSLtBseN
34,HIP,MAMAMOO,2020-01-02,gr,24nK8tW7Pt3Inh2utttuoG
35,UP THE SMOKE (with Offset),Stunna 4 Vegas,2020-01-02,gr,09TZsMHXEtQkdmMJZPLKup
36,κόρη.,Marseaux,2020-01-02,gr,2Hq0RL4rJJ6HAGGQApIYc8
37,Να 'σαι Καλά,Marseaux,2020-01-02,gr,7H4pzNYQYzO7dGszslkWDr
38,Watermelon Sugar,Harry Styles,2020-01-02,gr,6UelLqGlWMcVH1E5c4H7lY
39,Dior,Pop Smoke,2020-01-02,gr,79s5XnCN4TJKTVMSmOx8Ep
40,Before You Go,Lewis Capaldi,2020-01-02,gr,2gMXnyrvIjhVBUZwvLZDMP
41,Yellow Hearts,Ant Saunders,2020-01-02,gr,2W4yABdLc4Jnds67Poi5Nl
42,Lottery (Renegade),K CAMP,2020-01-02,gr,4dZTZbmJBCCofAExHwefda
43,Ένα Κολιέ από Κοχύλια,Marseaux,2020-01-02,gr,77dhlLOM6bk45AwzCvnj1x
44,To Mahairi,Thanos Mikroutsikos,2020-01-02,gr,27IJhSIv1glktPwcPpGVDo
45,Ena Lepto,Christos Mastoras,2020-01-02,gr,16KYH9f17z1QJ6s5G8XEZy
46,Colpo Grosso,SNIK,2020-01-02,gr,4lCwnBZurX0OIqMKBOHRlS
