Position,Track Name,Artist,date,region,spotify_id
1,Careless Whisper,George Michael,2017-01-01,gr,4jDmJ51x1o9NZB5Nxxc7gY
2,Father Figure - Remastered,George Michael,2017-01-01,gr,0L0T4tMAaGqLgIVj1MOj9t
3,Faith - Remastered,George Michael,2017-01-01,gr,0HEmnAUT8PHznIAAmVXqFJ
4,Freedom! '90,George Michael,2017-01-01,gr,1D6nV9TPfMnWm7UdVsDVfI
5,"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling,2017-01-01,gr,0LtVx5vsq9nfpGsWgjUin6
6,Alli Mia Efkeria,Pantelis Pantelidis,2017-01-01,gr,0jRcwtTkpoGPAlhdHMYHaJ
7,Jesus to a Child,George Michael,2017-01-01,gr,2SzCxX6M6vDwdEwnHDiTaY
8,"Castro (feat. Kanye West, Big Sean, Quavo & 2 Chainz)",Yo Gotti,2017-01-01,gr,0rHJxNaQRMGK6Y4TUx3xRO
9,Back To Me,Marian Hill,2017-01-01,gr,6UiRbzRaS9LHZTHSfvn1jx
10,Just Hold On,Steve Aoki,2017-01-01,gr,3EmmCZoqpWOTY1g2GBwJoR
11,I Want Your Sex - Pts. 1 & 2 Remastered,George Michael,2017-01-01,gr,6QnFHieoch6U9J8zfv6hml
12,Weak,AJR,2017-01-01,gr,45iMRHmfLZu3yjdZ8P5e3t
13,Kissing a Fool - Remastered,George Michael,2017-01-01,gr,1sEGwuvScFU2uNzlI7Aepy
14,"How Far I'll Go - From ""Moana""",Alessia Cara,2017-01-01,gr,5EbX5xL3O2xT8FxCpYzgUO
15,Planetarium,Justin Hurwitz,2017-01-01,gr,0PalOqMHzXSdwI4oRPYzNw
16,Wake Me Up Before You Go-Go,Wham!,2017-01-01,gr,5XsMz0YfEaHZE0MTb1aujs
17,Fake Love,Drake,2017-01-01,gr,6NMNgWgEAzde5M8U3lc6FN
18,Six Feet Under,The Weeknd,2017-01-01,gr,4mU5iXHeLgbR94siF7p1sY
19,Deja Vu,J. Cole,2017-01-01,gr,6I6NX6tjGsxFAsIfGzY9lJ
20,goosebumps,Travis Scott,2017-01-01,gr,6gBFPUFcJLzWGx4lenP6h2
21,Carol of the Bells,Musical Spa,2017-01-01,gr,6Rn4iLkZDleCNK0PXEPN2l
22,Bad Things - With Camila Cabello,Machine Gun Kelly,2017-01-01,gr,56cswAa9WdFBsjsTyPBAKA
23,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,2017-01-01,gr,40UroIGvsMPLPBYwH8rMNA
24,You Have Been Loved,George Michael,2017-01-01,gr,1W19bowAmX4WJusclbWIbM
25,2017 S' Agapo,Eleni Foureira,2017-01-01,gr,5FRgfIr8mIWgOxNSem5lRC
26,Waiting for That Day,George Michael,2017-01-01,gr,75YoHH9vk1KO4S7db3QxGV
