Position,Track Name,Artist,Streams,date,region,spotify_id
1,Chantaje (feat. Maluma),Shakira,1423583,2017-01-06--2017-01-13,es,6mICuAdrwEjh6Y6lroV2Kg
2,Reggaetón Lento (Bailemos),CNCO,1339834,2017-01-06--2017-01-13,es,3AEZUABDXNtecAOSC1qTfo
3,Shape of You,Ed Sheeran,1215829,2017-01-06--2017-01-13,es,7qiZfU4dY1lWllzX7mPBI3
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1148813,2017-01-06--2017-01-13,es,5knuzwU65gJK7IF5yJsuaW
5,Safari,J Balvin,1044868,2017-01-06--2017-01-13,es,6rQSrBHf7HlZjtcMZ4S4bO
6,Vente Pa' Ca (feat. Maluma),Ricky Martin,904049,2017-01-06--2017-01-13,es,7DM4BPaS7uofFul3ywMe46
7,Otra vez (feat. J Balvin),Zion & Lennox,831006,2017-01-06--2017-01-13,es,3QwBODjSEzelZyVjxPOHdq
8,Castle on the Hill,Ed Sheeran,826203,2017-01-06--2017-01-13,es,6PCUP3dWmTjcTtXY02oFdT
9,Gyal You A Party Animal - Remix,Charly Black,817744,2017-01-06--2017-01-13,es,1AkTW13ysu0AJrwuM6UY0I
10,Traicionera,Sebastian Yatra,787337,2017-01-06--2017-01-13,es,5J1c3M4EldCfNxXwrwt8mT
11,Let Me Love You,DJ Snake,753008,2017-01-06--2017-01-13,es,4pdPtRcBmOSQDlJ3Fk945m
12,Starboy,The Weeknd,746871,2017-01-06--2017-01-13,es,5aAx2yezTd8zXrkmtKl66Z
13,24K Magic,Bruno Mars,743607,2017-01-06--2017-01-13,es,6b8Be6ljOzmkOmFslEb23P
14,La Bicicleta,Carlos Vives,692945,2017-01-06--2017-01-13,es,0sXvAOmXgjR2QUqLK1MltU
15,Closer,The Chainsmokers,684931,2017-01-06--2017-01-13,es,7BKLCZ1jbUBVqRi2FVlTVw
16,Don't Wanna Know,Maroon 5,672939,2017-01-06--2017-01-13,es,5MFzQMkrl1FOOng9tq6R9r
17,Vacaciones,Wisin,638652,2017-01-06--2017-01-13,es,3dQDid3IUNhZy1OehIfYfE
18,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",IAmChino,630726,2017-01-06--2017-01-13,es,6stYbAJgTszHAHZMPxWWCY
19,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix,Jacob Forever,612643,2017-01-06--2017-01-13,es,6sMPwcpYtxm1mlgYbp1B0t
20,Manicomio,Cosculluela,609097,2017-01-06--2017-01-13,es,3n58u3LOFw8mITLvfPvQBz
21,Desde Que Estamos Juntos,Melendi,583849,2017-01-06--2017-01-13,es,66VmioeXL4i1TCfHIO8R9t
22,In the Name of Love,Martin Garrix,577894,2017-01-06--2017-01-13,es,04DwTuZ2VBdJCCC5TROn7L
23,Fuego,Juanes,571741,2017-01-06--2017-01-13,es,0mwPE0lPOgnWf2bo14xedJ
24,Borro Cassette,Maluma,559932,2017-01-06--2017-01-13,es,6DUdDIRgLqCGq1DwkNWQTN
25,Say You Won't Let Go,James Arthur,557071,2017-01-06--2017-01-13,es,5uCax9HTNlzGybIStD3vDh
26,Deja Que Te Bese,Alejandro Sanz,555970,2017-01-06--2017-01-13,es,0s6yB0ZFl1LvYHAnGhXFga
27,Bailame Despacio,Xantos,551724,2017-01-06--2017-01-13,es,4OaTpLJIa2harufGxfOPUu
28,Te Quiero Pa´Mi,Don Omar,549246,2017-01-06--2017-01-13,es,3BY2mafsbsoKGqS380Xnuz
29,Dile Que Tu Me Quieres,Ozuna,543690,2017-01-06--2017-01-13,es,20ZAJdsKB5IGbGj4ilRt2o
30,Cómo Te Atreves,Morat,541641,2017-01-06--2017-01-13,es,2z0EshEO4XptiepEb9j3Og
31,Antes Que No,David Bisbal,537261,2017-01-06--2017-01-13,es,4Iy644j0PpHssDJ33tXbIS
32,Quiero Que Sepas,Juan Magán,521678,2017-01-06--2017-01-13,es,0fm7fJ4aZv6Wx0klIcyXPz
33,Cold Water (feat. Justin Bieber & MØ),Major Lazer,518853,2017-01-06--2017-01-13,es,6DNtNfH8hXkqOX1sjqmI7p
34,Heathens,Twenty One Pilots,516069,2017-01-06--2017-01-13,es,6i0V12jOa3mr6uu4WYhUBr
35,One Dance,Drake,509644,2017-01-06--2017-01-13,es,1xznGGDReH1oQq0xzbwXa3
36,Me llamas (feat. Maluma) - Remix,Piso 21,495545,2017-01-06--2017-01-13,es,5hEM0JchdVzQ5PwvSfITeX
37,My Way,Calvin Harris,486865,2017-01-06--2017-01-13,es,1vvNmPOiUuyCbgWmtc6yfm
38,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,486334,2017-01-06--2017-01-13,es,6YZdkObH88npeKrrkb8Ggf
39,Side To Side,Ariana Grande,485556,2017-01-06--2017-01-13,es,4pLwZjInHj3SimIyN9SnOz
40,I Feel It Coming,The Weeknd,453384,2017-01-06--2017-01-13,es,5GXAXm5YOmYT0kL5jHvYBt
41,Andas En Mi Cabeza,Chino & Nacho,447892,2017-01-06--2017-01-13,es,5mey7CLLuFToM2P68Qu1gF
42,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,437817,2017-01-06--2017-01-13,es,2SSYqDX8KTgy01NlqtUo0F
43,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,435844,2017-01-06--2017-01-13,es,68EMU2RD1ECNeOeJ5qAXCV
44,Treat You Better,Shawn Mendes,433461,2017-01-06--2017-01-13,es,4Hf7WnR761jpxPr5D46Bcd
45,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,428045,2017-01-06--2017-01-13,es,6JV2JOEocMgcZxYSZelKcc
46,Don't Let Me Down (feat. Daya),The Chainsmokers,426803,2017-01-06--2017-01-13,es,0QsvXIfqM0zZoerQfsI9lm
47,Cheap Thrills,Sia,423985,2017-01-06--2017-01-13,es,27SdWb2rFzO6GWiYDBTD9j
48,Bobo,J Balvin,420246,2017-01-06--2017-01-13,es,7AtlMCIauSQZqiXSlbBPW6
49,El Perdedor (feat. Yandel) - The Remix,Maluma,417385,2017-01-06--2017-01-13,es,4QsPTKvdpgkA7mBAvclZTa
50,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,413136,2017-01-06--2017-01-13,es,3NdDpSvN911VPGivFlV5d0
51,Amor y dolor,Carlos Baute,387096,2017-01-06--2017-01-13,es,4efQTJSX6Jca1hHZNi74Zd
52,Shaky Shaky,Daddy Yankee,376870,2017-01-06--2017-01-13,es,58IL315gMSTD37DOZPJ2hf
53,Perfect Strangers,Jonas Blue,330205,2017-01-06--2017-01-13,es,1CUVN2kn7mW5FjkqXTR2W1
54,Alone,Alan Walker,301719,2017-01-06--2017-01-13,es,0JiVRyTJcJnmlwCZ854K4p
55,Ando buscando (feat. Piso 21),Carlos Baute,297872,2017-01-06--2017-01-13,es,7BwJtE8KSbCQKOCTIAY3jX
56,Shed a Light,Robin Schulz,289119,2017-01-06--2017-01-13,es,1cG0umU5TKStygKsPFZ9pY
57,By Your Side,Jonas Blue,288095,2017-01-06--2017-01-13,es,1D3ODoXHBLpdxolZRHWV1j
58,Just Hold On,Steve Aoki,280406,2017-01-06--2017-01-13,es,3EmmCZoqpWOTY1g2GBwJoR
59,The Greatest (feat. Kendrick Lamar),Sia,276587,2017-01-06--2017-01-13,es,7xHWNBFm6ObGEQPaUxHuKO
60,Photograph,Ed Sheeran,269435,2017-01-06--2017-01-13,es,6fxVffaTuwjgEk5h9QyRjy
61,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,260157,2017-01-06--2017-01-13,es,0JoHqmlqE0W0i9prt6kcHR
62,The Greatest,Sia,249629,2017-01-06--2017-01-13,es,6bLopGnirdrilrpdVB6Um1
63,Ruleta Rusa,Kevin Roldan,241069,2017-01-06--2017-01-13,es,77KHmKnBmVGTjRCeMVXpWH
64,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,238166,2017-01-06--2017-01-13,es,5q2JbCNi4FcnglgPfxcV65
65,Mi tesoro (feat. Nicky Jam),Zion & Lennox,233690,2017-01-06--2017-01-13,es,5HABnFSYvl6mTmg8nSdzHa
66,Traicionera - Remix,Sebastian Yatra,233272,2017-01-06--2017-01-13,es,2webQDZmtGioeu3zUUi9We
67,Fake Love,Drake,232504,2017-01-06--2017-01-13,es,343YBumqHu19cGoGARUTsd
68,Sirenas,Taburete,230993,2017-01-06--2017-01-13,es,4unOsvr9C2NqI9aJXrxpCy
69,Human,Rag'n'Bone Man,229756,2017-01-06--2017-01-13,es,58zsLZPvfflaiIbNWoA22O
70,Call On Me - Ryan Riback Extended Remix,Starley,228254,2017-01-06--2017-01-13,es,78rIJddV4X0HkNAInEcYde
71,Black Beatles,Rae Sremmurd,217021,2017-01-06--2017-01-13,es,6fujklziTHa8uoM5OQSfIo
72,Si me dices que sí (feat. Nicky Jam),Cosculluela,215664,2017-01-06--2017-01-13,es,3noN1TxpjbjjmKqssghvg8
73,Baila Conmigo,Juan Magán,212085,2017-01-06--2017-01-13,es,772io14jrMTxGJbijtDccQ
74,Mercy,Shawn Mendes,211730,2017-01-06--2017-01-13,es,4TZy1wLyHec06pwgFYDh1a
75,All We Know,The Chainsmokers,208790,2017-01-06--2017-01-13,es,2rizacJSyD9S1IQUxUxnsK
76,Thinking out Loud,Ed Sheeran,199472,2017-01-06--2017-01-13,es,1Slwb6dOYkBlWal1PGtnNg
77,Desde Esa Noche (feat. Maluma),Thalia,197374,2017-01-06--2017-01-13,es,1pWYnQIlqxTh5bxuPmTG4E
78,Encantadora (feat. Farruko & Zion & Lennox) - Remix,Yandel,191532,2017-01-06--2017-01-13,es,0EpFfFZpCuqYFzHvxOtrZS
79,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,191419,2017-01-06--2017-01-13,es,17Fd6Yb7mSbinKG8LoWfFl
80,El chisme,Reykon,190298,2017-01-06--2017-01-13,es,4VXejnj5WgM6H72ct2fSgQ
81,Sofia,Alvaro Soler,189879,2017-01-06--2017-01-13,es,1VoHrSS3QQ6TbpabLrFiYb
82,La Gozadera (feat. Marc Anthony),Gente De Zona,188636,2017-01-06--2017-01-13,es,0OMRAvrtLWE2TvcXorRiB9
83,Gyal You A Party Animal,Charly Black,183463,2017-01-06--2017-01-13,es,1mSzZKMIPZIkn3jFV7v62b
84,Que Raro,Feid,181601,2017-01-06--2017-01-13,es,3kg9JvQe6QJFKUQCN1oIQz
85,Starving,Hailee Steinfeld,179878,2017-01-06--2017-01-13,es,1qOLh0tI7trd1zdDKxYZTe
86,Ain't Your Mama,Jennifer Lopez,178168,2017-01-06--2017-01-13,es,2hgzdQdnfWwtdpZbhZlV72
87,Otra copa (feat. Farruko),Justin Quiles,177606,2017-01-06--2017-01-13,es,5KX51uLJYo1S1MmITG7lHD
88,Ride,Twenty One Pilots,175526,2017-01-06--2017-01-13,es,2Z8WuEywRWYTKe1NybPQEW
89,Cuánto Me Duele,Morat,175163,2017-01-06--2017-01-13,es,1PVjdldNeaJxETpW0jpJQo
90,Complicidad (feat. Manuel Medrano),Vanesa Martín,174748,2017-01-06--2017-01-13,es,6lah9kMrDgQDcPLgmJfRdG
91,Acércate (feat. Nicky Jam) - Remix,De La Ghetto,173098,2017-01-06--2017-01-13,es,35OC6rMxa8lJi8eDiUVShS
92,Lost on You,LP,172440,2017-01-06--2017-01-13,es,3SqvR3HYLlCTYzbDXJ52OC
93,Faded,Alan Walker,170812,2017-01-06--2017-01-13,es,7gHs73wELdeycvS48JfIos
94,Uno X Uno,Manuel Carrasco,170306,2017-01-06--2017-01-13,es,5UT0srpbH055rM8lyCNTJV
95,Bad Things (with Camila Cabello),Machine Gun Kelly,169442,2017-01-06--2017-01-13,es,1PSBzsahR2AKwLJgx8ehBj
96,All Night,The Vamps,168299,2017-01-06--2017-01-13,es,1yNyoWWWikbLhwIGWjZuDW
97,Hasta el Amanecer,Nicky Jam,168151,2017-01-06--2017-01-13,es,5Fim1gaXBgsiFfsQAfQSDS
98,Scars To Your Beautiful,Alessia Cara,167787,2017-01-06--2017-01-13,es,0prNGof3XqfTvNDxHonvdK
99,Sincericidio,Leiva,166391,2017-01-06--2017-01-13,es,3Q8avvsQE7mtTXT2TrDx3I
100,Chillax (feat. Ky-Mani Marley),Farruko,165865,2017-01-06--2017-01-13,es,1lxswgIpzV6HhENRvkflES
101,Hear Me Now,Alok,165154,2017-01-06--2017-01-13,es,1a5Yu5L18qNxVhXx38njON
