Position,Track Name,Artist,date,region,spotify_id
1,Calma - Remix,Pedro Capó,2019-01-01,es,5iwz1NiezX7WWjnCgY5TH4
2,Adan y Eva,Paulo Londra,2019-01-01,es,6FyRXC8tJUh863JCkyWqtk
3,MALA,6ix9ine,2019-01-01,es,0LQ1J0BCzA2qnAgp9MkkNE
4,Vas A Quedarte,Aitana,2019-01-01,es,2b3JxLi8KAiOsD8ehnOxDZ
5,A Solas - Remix,Lunay,2019-01-01,es,3T5QSIgoaPIh07SwixRDp7
6,Adictiva,Daddy Yankee,2019-01-01,es,6MJUCumnQsQEKbCy28tbCP
7,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2019-01-01,es,27rdGxbavYJeBphck5MZAF
8,Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN,2019-01-01,es,6fIgsZFtGXiIvxb2Y6oCc7
9,Ta To Gucci (Remix),Cauty,2019-01-01,es,7kuRvjpeUcn6qNV9IBXC2C
10,Ella Quiere Beber - Remix,Anuel AA,2019-01-01,es,2cYnZNzFRFK0H7vSNxPsUq
11,MIA (feat. Drake),Bad Bunny,2019-01-01,es,116H0KvKr2Zl4RPuVBruDO
12,Desconocidos,Mau y Ricky,2019-01-01,es,0s5DNDV6LAKn2u2Ufa3VjQ
13,Machirulo Escóndete,Tongo,2019-01-01,es,2iQsv9ihNwcYexIfyj3JHV
14,Reggaeton,J Balvin,2019-01-01,es,2D3z17LBMJ2HEHeBFFjTLi
15,Otra Copa,Bandaga,2019-01-01,es,38a7xqi18rg8wGJhK71fj8
16,"The Place Where Lost Things Go - From ""Mary Poppins Returns""",Emily Blunt,2019-01-01,es,1Ea0zWC9cjfsF70fvZ3qva
17,Déjalo,Nacho,2019-01-01,es,4VTTpwcAxVSQNzEZLi75d0
18,Going Bad (feat. Drake),Meek Mill,2019-01-01,es,2IRZnDFmlqMuOrYOLnZZyc
19,Imposible,Luis Fonsi,2019-01-01,es,3ao3OVxHlb3C08vAaApUlm
20,Ramenez la coupe à la maison,Vegedream,2019-01-01,es,1m0UFnuTktOkksvjbF9z0m
21,Booty,C. Tangana,2019-01-01,es,4W3FJapn5CD6Fnrlfj4HFe
22,Bajito,Ana Guerra,2019-01-01,es,1izomJbkB4nTh5hDLgsBZd
23,"thank u, next",Ariana Grande,2019-01-01,es,2rPE9A1vEgShuZxxzR2tZH
24,De Cero a Cien,Adrian Fyrla,2019-01-01,es,3Kjfxwet6r59mTpQQID8GV
