Position,Track Name,Artist,date,region,spotify_id
1,Che vita meravigliosa,Diodato,2020-01-01,it,38IMwP32I50uftvKOoDD09
2,Falling,Trevor Daniel,2020-01-01,it,4TnjEaWOeW0eKTKIEvJyCa
3,Vorrei Dirti,Anto Paga,2020-01-01,it,4zpAnyVfs0EQbD6VSZ6Dgs
4,Natale Reggaeton,RDS Christmas Band,2020-01-01,it,4pvtxWJNji6VBwJ9FiI9Ba
5,blun7 a swishland,tha Supreme,2020-01-01,it,7HwvPmK74MBRDhCIyMXReP
6,Aldatıldık,Sezen Aksu,2020-01-01,it,5dUngo82cy6eNlvHOBw2PW
7,Time,Jimmy Sax,2020-01-01,it,47iBtK4SMDXM2i2evdEvKx
8,Candy,VillaBanks,2020-01-01,it,3a3EzSxWvDno8RpTMv7Xch
9,Giulia,Prince Paris,2020-01-01,it,2W9pBY75aWOV39S73mqqbn
10,Urano,Urano,2020-01-01,it,6dn3yvy4Cg2varKWA0C7PS
11,ANSIA NO,FSK SATELLITE,2020-01-01,it,2yuYI5NFhevxa05se7Qht9
12,No Idea,Don Toliver,2020-01-01,it,3VyjsVV24RmBIbWJAeUJNu
13,Oh Cacchio,Leon Faun,2020-01-01,it,1yjyFN62WDYfjH7FaiVHL8
14,Immigrato,Checco Zalone,2020-01-01,it,7oaBMbnuCEpraQhQIz68mE
15,Blinding Lights,The Weeknd,2020-01-01,it,0sf12qNH5qcw8qpgymFOqD
16,ROXANNE,Arizona Zervas,2020-01-01,it,696DnlkuDOXcMAnKlTgXXK
17,Stella,Shari,2020-01-01,it,2RV23k4nQDYCFBx6Bd22q1
18,Ayy Macarena,Tyga,2020-01-01,it,6LcauUZjF1eXQrgqMUecHX
19,ENFASI,Sierra,2020-01-01,it,77VwA6u9JEb4WG5lWSkvU6
20,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-01-01,it,0Q2n5yzl2XRqYbV77tZNYp
21,fuck 3x,tha Supreme,2020-01-01,it,5YxP1CkunbhUQVvctFOHa7
22,Dance Monkey,Tones And I,2020-01-01,it,1rgnBhdG2JDFTbYkYRZAku
23,Taste (Make It Shake) (Remix feat. Shiva),Aitch,2020-01-01,it,4QM1Y3xrOkZDPc9R2CvaXx
24,RITMO (Bad Boys For Life),Black Eyed Peas,2020-01-01,it,6cy3ki60hLwimwIje7tALf
25,Dilemme,Lous and The Yakuza,2020-01-01,it,34UANp5qxDg6YcgrlDeILZ
26,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,2020-01-01,it,4z6l90HzhLLCd0hWddzbrh
27,A DOMANI PER SEMPRE,Sofia Tornambene,2020-01-01,it,47LHVzNyaNQvjvhgn2GVYN
28,Bando,ANNA,2020-01-01,it,2JIB9ZETu4C6QxiobYMh6x
29,BOYFREN,LoveLeo,2020-01-01,it,2YJ7tTicU1vUmUjYNJROrv
30,Roses - Imanbek Remix,SAINt JHN,2020-01-01,it,24Yi9hE78yPEbZ4kxyoXAI
31,Don't Start Now,Dua Lipa,2020-01-01,it,6WrI0LAC5M1Rw2MnX2ZvEg
32,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,2020-01-01,it,00GxbkrW4m1Tac5xySEJ4M
33,Luna diamante,Mina,2020-01-01,it,6TjISRRoE3Tvjds0iW8t07
34,Mambo (feat. Sick Luke),Nicola Siciliano,2020-01-01,it,4ibUxNAjSdg19dYEMlisTy
35,GANG (feat. Geolier),Samurai Jay,2020-01-01,it,2Yd6hF9rBSibtF4hlcnBEw
36,Tusa,KAROL G,2020-01-01,it,7k4t7uLgtOxPwTpFmtJNTY
37,Girasoli,Emanuele Aloia,2020-01-01,it,3lumKk7Mrt6KhFDZURTv0t
38,The Box,Roddy Ricch,2020-01-01,it,0nbXyq5TXYPCO7pr3N8S4I
39,Non Avere Paura,Tommaso Paradiso,2020-01-01,it,1qMx707PFdFXdwLvcUTNz3
40,I Want It All (feat. Elderbrook),Casper Cole,2020-01-01,it,4jKSx7uL18SAO4O432BrTp
41,Notte perfetta,Cristiano Malgioglio,2020-01-01,it,0V3tOcZKDf9zVGr5d4dRtw
42,Macarena - Remix,Gonfe,2020-01-01,it,4h0hiuVDoWNg5MjADjlrCw
43,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,2020-01-01,it,020wG4EHTwBy5h2rbpxqvK
44,Soldi in Nero - feat. Sfera Ebbasta,Shiva,2020-01-01,it,1Xm2e1vDwOMeJJioWuG1s7
45,Disco samba medley,Baby Land,2020-01-01,it,7fs2ox6WN5ELk8QBEunGgN
46,CORNFLAKES,COMETE,2020-01-01,it,1VLZV4idlXeZvpisIvoGMk
47,Memories,Maroon 5,2020-01-01,it,2b8fOow8UzyDFAE27YhOZM
48,CHEYENNE - feat. Charlie Charles,Francesca Michielin,2020-01-01,it,3tSiJqSOzHrp828XhPXkst
49,Psycho!,MASN,2020-01-01,it,4sSu9BtWSCWRNjGD2AvqbG
50,CRUDELIA - I nervi,Marracash,2020-01-01,it,1OeIJITrlUR4qss2kywMEn
1,Che vita meravigliosa,Diodato,2020-01-02,it,38IMwP32I50uftvKOoDD09
2,Falling,Trevor Daniel,2020-01-02,it,4TnjEaWOeW0eKTKIEvJyCa
3,Vorrei Dirti,Anto Paga,2020-01-02,it,4zpAnyVfs0EQbD6VSZ6Dgs
4,Natale Reggaeton,RDS Christmas Band,2020-01-02,it,4pvtxWJNji6VBwJ9FiI9Ba
5,blun7 a swishland,tha Supreme,2020-01-02,it,7HwvPmK74MBRDhCIyMXReP
6,Aldatıldık,Sezen Aksu,2020-01-02,it,5dUngo82cy6eNlvHOBw2PW
7,No Idea,Don Toliver,2020-01-02,it,3VyjsVV24RmBIbWJAeUJNu
8,Candy,VillaBanks,2020-01-02,it,3a3EzSxWvDno8RpTMv7Xch
9,Time,Jimmy Sax,2020-01-02,it,47iBtK4SMDXM2i2evdEvKx
10,Immigrato,Checco Zalone,2020-01-02,it,7oaBMbnuCEpraQhQIz68mE
11,Blinding Lights,The Weeknd,2020-01-02,it,0sf12qNH5qcw8qpgymFOqD
12,ANSIA NO,FSK SATELLITE,2020-01-02,it,2yuYI5NFhevxa05se7Qht9
13,Giulia,Prince Paris,2020-01-02,it,2W9pBY75aWOV39S73mqqbn
14,Ayy Macarena,Tyga,2020-01-02,it,6LcauUZjF1eXQrgqMUecHX
15,Stella,Shari,2020-01-02,it,2RV23k4nQDYCFBx6Bd22q1
16,ROXANNE,Arizona Zervas,2020-01-02,it,696DnlkuDOXcMAnKlTgXXK
17,ENFASI,Sierra,2020-01-02,it,77VwA6u9JEb4WG5lWSkvU6
18,Oh Cacchio,Leon Faun,2020-01-02,it,1yjyFN62WDYfjH7FaiVHL8
19,Urano,Urano,2020-01-02,it,6dn3yvy4Cg2varKWA0C7PS
20,Taste (Make It Shake) (Remix feat. Shiva),Aitch,2020-01-02,it,4QM1Y3xrOkZDPc9R2CvaXx
21,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-01-02,it,0Q2n5yzl2XRqYbV77tZNYp
22,Dance Monkey,Tones And I,2020-01-02,it,1rgnBhdG2JDFTbYkYRZAku
23,fuck 3x,tha Supreme,2020-01-02,it,5YxP1CkunbhUQVvctFOHa7
24,RITMO (Bad Boys For Life),Black Eyed Peas,2020-01-02,it,6cy3ki60hLwimwIje7tALf
25,A DOMANI PER SEMPRE,Sofia Tornambene,2020-01-02,it,47LHVzNyaNQvjvhgn2GVYN
26,Bando,ANNA,2020-01-02,it,2JIB9ZETu4C6QxiobYMh6x
27,Dilemme,Lous and The Yakuza,2020-01-02,it,34UANp5qxDg6YcgrlDeILZ
28,Roses - Imanbek Remix,SAINt JHN,2020-01-02,it,24Yi9hE78yPEbZ4kxyoXAI
29,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,2020-01-02,it,4z6l90HzhLLCd0hWddzbrh
30,Don't Start Now,Dua Lipa,2020-01-02,it,6WrI0LAC5M1Rw2MnX2ZvEg
31,The Box,Roddy Ricch,2020-01-02,it,0nbXyq5TXYPCO7pr3N8S4I
32,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,2020-01-02,it,00GxbkrW4m1Tac5xySEJ4M
33,Notte perfetta,Cristiano Malgioglio,2020-01-02,it,0V3tOcZKDf9zVGr5d4dRtw
34,GANG (feat. Geolier),Samurai Jay,2020-01-02,it,2Yd6hF9rBSibtF4hlcnBEw
35,I Want It All (feat. Elderbrook),Casper Cole,2020-01-02,it,4jKSx7uL18SAO4O432BrTp
36,Mambo (feat. Sick Luke),Nicola Siciliano,2020-01-02,it,4ibUxNAjSdg19dYEMlisTy
37,Tusa,KAROL G,2020-01-02,it,7k4t7uLgtOxPwTpFmtJNTY
38,Luna diamante,Mina,2020-01-02,it,6TjISRRoE3Tvjds0iW8t07
39,Non Avere Paura,Tommaso Paradiso,2020-01-02,it,1qMx707PFdFXdwLvcUTNz3
40,Girasoli,Emanuele Aloia,2020-01-02,it,3lumKk7Mrt6KhFDZURTv0t
41,Per sentirmi vivo,Fasma,2020-01-02,it,5U3ln41nbhztweY70Mv5b3
42,Macarena - Remix,Gonfe,2020-01-02,it,4h0hiuVDoWNg5MjADjlrCw
43,Disco samba medley,Baby Land,2020-01-02,it,7fs2ox6WN5ELk8QBEunGgN
44,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,2020-01-02,it,020wG4EHTwBy5h2rbpxqvK
45,Soldi in Nero - feat. Sfera Ebbasta,Shiva,2020-01-02,it,1Xm2e1vDwOMeJJioWuG1s7
46,CHEYENNE - feat. Charlie Charles,Francesca Michielin,2020-01-02,it,3tSiJqSOzHrp828XhPXkst
47,Memories,Maroon 5,2020-01-02,it,2b8fOow8UzyDFAE27YhOZM
48,CORNFLAKES,COMETE,2020-01-02,it,1VLZV4idlXeZvpisIvoGMk
49,CRUDELIA - I nervi,Marracash,2020-01-02,it,1OeIJITrlUR4qss2kywMEn
50,Before You Go,Lewis Capaldi,2020-01-02,it,2gMXnyrvIjhVBUZwvLZDMP
1,Falling,Trevor Daniel,2020-01-03,it,4TnjEaWOeW0eKTKIEvJyCa
2,Che vita meravigliosa,Diodato,2020-01-03,it,38IMwP32I50uftvKOoDD09
3,Vorrei Dirti,Anto Paga,2020-01-03,it,4zpAnyVfs0EQbD6VSZ6Dgs
4,Aldatıldık,Sezen Aksu,2020-01-03,it,5dUngo82cy6eNlvHOBw2PW
5,blun7 a swishland,tha Supreme,2020-01-03,it,7HwvPmK74MBRDhCIyMXReP
6,Natale Reggaeton,RDS Christmas Band,2020-01-03,it,4pvtxWJNji6VBwJ9FiI9Ba
7,No Idea,Don Toliver,2020-01-03,it,3VyjsVV24RmBIbWJAeUJNu
8,Candy,VillaBanks,2020-01-03,it,3a3EzSxWvDno8RpTMv7Xch
9,Immigrato,Checco Zalone,2020-01-03,it,7oaBMbnuCEpraQhQIz68mE
10,Time,Jimmy Sax,2020-01-03,it,47iBtK4SMDXM2i2evdEvKx
11,ANSIA NO,FSK SATELLITE,2020-01-03,it,2yuYI5NFhevxa05se7Qht9
12,Giulia,Prince Paris,2020-01-03,it,2W9pBY75aWOV39S73mqqbn
13,Blinding Lights,The Weeknd,2020-01-03,it,0sf12qNH5qcw8qpgymFOqD
14,Ayy Macarena,Tyga,2020-01-03,it,6LcauUZjF1eXQrgqMUecHX
15,ENFASI,Sierra,2020-01-03,it,77VwA6u9JEb4WG5lWSkvU6
16,ROXANNE,Arizona Zervas,2020-01-03,it,696DnlkuDOXcMAnKlTgXXK
17,Urano,Urano,2020-01-03,it,6dn3yvy4Cg2varKWA0C7PS
18,Stella,Shari,2020-01-03,it,2RV23k4nQDYCFBx6Bd22q1
19,Oh Cacchio,Leon Faun,2020-01-03,it,1yjyFN62WDYfjH7FaiVHL8
20,Taste (Make It Shake) (Remix feat. Shiva),Aitch,2020-01-03,it,4QM1Y3xrOkZDPc9R2CvaXx
21,Dance Monkey,Tones And I,2020-01-03,it,1rgnBhdG2JDFTbYkYRZAku
22,RITMO (Bad Boys For Life),Black Eyed Peas,2020-01-03,it,6cy3ki60hLwimwIje7tALf
23,fuck 3x,tha Supreme,2020-01-03,it,5YxP1CkunbhUQVvctFOHa7
24,Dilemme,Lous and The Yakuza,2020-01-03,it,34UANp5qxDg6YcgrlDeILZ
25,A DOMANI PER SEMPRE,Sofia Tornambene,2020-01-03,it,47LHVzNyaNQvjvhgn2GVYN
26,Notte perfetta,Cristiano Malgioglio,2020-01-03,it,0V3tOcZKDf9zVGr5d4dRtw
27,The Box,Roddy Ricch,2020-01-03,it,0nbXyq5TXYPCO7pr3N8S4I
28,Bando,ANNA,2020-01-03,it,2JIB9ZETu4C6QxiobYMh6x
29,Don't Start Now,Dua Lipa,2020-01-03,it,6WrI0LAC5M1Rw2MnX2ZvEg
30,Per sentirmi vivo,Fasma,2020-01-03,it,5U3ln41nbhztweY70Mv5b3
31,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,2020-01-03,it,00GxbkrW4m1Tac5xySEJ4M
32,GOODMORNINGTOKYO!,TOKYO’S REVENGE,2020-01-03,it,0Q2n5yzl2XRqYbV77tZNYp
33,Roses - Imanbek Remix,SAINt JHN,2020-01-03,it,24Yi9hE78yPEbZ4kxyoXAI
34,Mambo (feat. Sick Luke),Nicola Siciliano,2020-01-03,it,4ibUxNAjSdg19dYEMlisTy
35,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,2020-01-03,it,4z6l90HzhLLCd0hWddzbrh
36,GANG (feat. Geolier),Samurai Jay,2020-01-03,it,2Yd6hF9rBSibtF4hlcnBEw
37,Tusa,KAROL G,2020-01-03,it,7k4t7uLgtOxPwTpFmtJNTY
38,Luna diamante,Mina,2020-01-03,it,6TjISRRoE3Tvjds0iW8t07
39,Non Avere Paura,Tommaso Paradiso,2020-01-03,it,1qMx707PFdFXdwLvcUTNz3
40,I Want It All (feat. Elderbrook),Casper Cole,2020-01-03,it,4jKSx7uL18SAO4O432BrTp
41,BOYFREN,LoveLeo,2020-01-03,it,2YJ7tTicU1vUmUjYNJROrv
42,Girasoli,Emanuele Aloia,2020-01-03,it,3lumKk7Mrt6KhFDZURTv0t
43,CORNFLAKES,COMETE,2020-01-03,it,1VLZV4idlXeZvpisIvoGMk
44,CHEYENNE - feat. Charlie Charles,Francesca Michielin,2020-01-03,it,3tSiJqSOzHrp828XhPXkst
45,Adore You,Harry Styles,2020-01-03,it,3jjujdWJ72nww5eGnfs2E7
46,Memories,Maroon 5,2020-01-03,it,2b8fOow8UzyDFAE27YhOZM
47,Disco samba medley,Baby Land,2020-01-03,it,7fs2ox6WN5ELk8QBEunGgN
48,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,2020-01-03,it,020wG4EHTwBy5h2rbpxqvK
49,CRUDELIA - I nervi,Marracash,2020-01-03,it,1OeIJITrlUR4qss2kywMEn
50,Ce sta o problema,PakyG,2020-01-03,it,6yN6VDi7qfvi9excIWLDWk
1,Falling,Trevor Daniel,2020-01-04,it,4TnjEaWOeW0eKTKIEvJyCa
2,Che vita meravigliosa,Diodato,2020-01-04,it,38IMwP32I50uftvKOoDD09
3,Aldatıldık,Sezen Aksu,2020-01-04,it,5dUngo82cy6eNlvHOBw2PW
4,Vorrei Dirti,Anto Paga,2020-01-04,it,4zpAnyVfs0EQbD6VSZ6Dgs
5,No Idea,Don Toliver,2020-01-04,it,3VyjsVV24RmBIbWJAeUJNu
6,blun7 a swishland,tha Supreme,2020-01-04,it,7HwvPmK74MBRDhCIyMXReP
7,Natale Reggaeton,RDS Christmas Band,2020-01-04,it,4pvtxWJNji6VBwJ9FiI9Ba
8,Candy,VillaBanks,2020-01-04,it,3a3EzSxWvDno8RpTMv7Xch
9,Immigrato,Checco Zalone,2020-01-04,it,7oaBMbnuCEpraQhQIz68mE
10,Time,Jimmy Sax,2020-01-04,it,47iBtK4SMDXM2i2evdEvKx
