Position,Track Name,Artist,date,region,spotify_id
1,Problemas,Paris Boy,2021-01-01,it,2aQJOc2QUTdQl1J2Z9VxYO
2,fools (can't help falling in love) (feat. Sody),Foster,2021-01-01,it,4VEEDnEFLI9dUy5QA51rom
3,Concedimi,Matteo Romano,2021-01-01,it,0pFjYM7JdNJhjuooMgesks
4,MIA,Lortex,2021-01-01,it,1SIl1FBbHmGa4PmJu5q6Lm
5,Mayonaka no Door / Stay With Me,Miki Matsubara,2021-01-01,it,2BHj31ufdEqVK5CkYDp9mA
6,Lil Globglogabgalab,MemeMachine,2021-01-01,it,1J3upVHfAcSSEcbbS72jfZ
7,Hecha Pa' Mi,Boza,2021-01-01,it,3VvA1wSxukMLsvXoXtlwWx
8,bye bye,Oscar Anton,2021-01-01,it,02q60trEKaNAa9oZbGFBW0
9,Astronaut In The Ocean,Masked Wolf,2021-01-01,it,0jdso14vaFnpRazMLEZovF
10,Samba Megamix (12 version),Two Man Sound,2021-01-01,it,3h9GLvqH55IAqUD0kvGE6X
11,Umbrella,Ember Island,2021-01-01,it,2FX5HPP1FNNuLlt2UU9os7
12,Forti e Fragili,Deddy,2021-01-01,it,6vTeFU2SLNpZRPIkDIPI22
13,Mmmh,KAI,2021-01-01,it,5dntGTbUtmUO239wQ0k3yM
14,non +,sangiovanni,2021-01-01,it,6Ao7vZdsONH1eGcMEzfvSG
15,Space Girl,Frances Forever,2021-01-01,it,7FjIYiD53wxlQmzTT6Wdpf
16,Entre tú y yo,Chema Rivas,2021-01-01,it,2nleoafEjZ3h1NUtkz6i1X
17,Violent,carolesdaughter,2021-01-01,it,7CFfqRW50ffULvBv7lfIIg
18,Boku no Sensou - TV Size,Shinsei Kamattechan,2021-01-01,it,3tRPfCFAEv6wWyQO0YnGGV
19,Motel (feat. Geolier),Peppe Soks,2021-01-01,it,7DMIzd4ZnSRDWENL414l6J
20,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,2021-01-01,it,78SeXVRJ7KCqVmOwTiFjnI
21,Hayloft,Mother Mother,2021-01-01,it,2kS6td1yvmpNgZTt1q5pQq
22,Whoopty,CJ,2021-01-01,it,5vGLcdRuSbUhD8ScwsGSdA
