Position,Track Name,Artist,date,region,spotify_id
1,Camina - Operación Triunfo 2017,Operación Triunfo 2017,2018-01-01,es,5RtOTz6tsa5ssYJ084BaLW
2,Back In Black,Wing,2018-01-01,es,6dWSn5X8gFxuY9TxFoDMv9
3,This Is Me,Keala Settle,2018-01-01,es,2xGjteMU3E1tkEPVFBO08U
4,Bum Bum Tam Tam,MC Fioti,2018-01-01,es,4zWO4gvuFtw6EJZC5FFGlr
5,Date placer con mi cuerpo,La Tigresa del oriente,2018-01-01,es,0rtUXEaWVV9xLeoUVw8izV
6,A Million Dreams,Ziv Zaifman,2018-01-01,es,0RoA7ObU6phWpqhlC9zH4Z
7,Adoro,Naím Thomas,2018-01-01,es,7DZAsSKyYAVBSq7etXCyoO
8,Never Enough,Loren Allred,2018-01-01,es,0Gl5s8IhMmQE5YQwM8Qx1J
9,"Velaske, Yo Soi Guapa? - Las Meninas Trap Mix",PlayGround Fire,2018-01-01,es,0EmB40Q8RpudBizgNsvJxK
10,The Greatest Show,Hugh Jackman,2018-01-01,es,43ay9lQZ5rfNcOOHhRF2cM
11,Ana y los Pájaros,Christina Rosenvinge,2018-01-01,es,1YfRcVFamAtQTxUBQrhRit
12,Vivo Por Ella,Alex Casademunt,2018-01-01,es,4hvVe7K3JyH1A573Iuhefx
13,"Te Quiero, Te Quiero",Javián,2018-01-01,es,7fGt7C5fZRgGsgRLNfeS0h
14,Échame La Culpa,Luis Fonsi,2018-01-01,es,1zsG4eaZmkA1dvjDDsAGLK
15,Noches De Bohemia,Juan Antonio,2018-01-01,es,6AWZANvWtoOkonszECHM2M
16,Todo un Pitufo Puedes Ser,Los Pitufos,2018-01-01,es,7fT5flhPP1Hy5kYyO98SU0
17,"Eres agua - En directo, La Riviera, Madrid 2017",Miss Caffeina,2018-01-01,es,76lF8Yt1TgALFgNYM9ee7Z
18,Guerrera,DELLAFUENTE,2018-01-01,es,3Q6zROQvMXRtR9NYfDpNWL
19,River (feat. Ed Sheeran),Eminem,2018-01-01,es,5UEnHoDYpsxlfzWLZIc7LD
20,Vete,KHEA,2018-01-01,es,2rZB6indPhp8C5AZK1PpkS
21,Don't Let The Sun Go Down On Me,Alejandro Parreño,2018-01-01,es,2l0UYGW79GTeIkS68qEpsK
22,Coño,Puri,2018-01-01,es,7tXCV0UwFwBxqum6i25you
23,La Tetita,Wendy Sulca,2018-01-01,es,7HWDVcCOgbmfOoH0Qfh59t
24,Cheap Thrills,The Bellas,2018-01-01,es,0bQhHV4ANdHl9RDzVwo8Rj
