Position,Track Name,Artist,Streams,date,region,spotify_id
1,BIG MAN,SNIK,89921,2020-01-03--2020-01-10,gr,7qd01xrME77eyWqGPumC2J
2,Dance Monkey,Tones And I,87829,2020-01-03--2020-01-10,gr,1rgnBhdG2JDFTbYkYRZAku
3,Oxi Simera,LEX,76427,2020-01-03--2020-01-10,gr,0dD17UWACV5aYTyeS6af1k
4,Falling,Trevor Daniel,75299,2020-01-03--2020-01-10,gr,4TnjEaWOeW0eKTKIEvJyCa
5,HIGHEST IN THE ROOM,Travis Scott,71702,2020-01-03--2020-01-10,gr,3eekarcy7kvN4yt5ZFzltW
6,Ayy Macarena,Tyga,64119,2020-01-03--2020-01-10,gr,6LcauUZjF1eXQrgqMUecHX
7,Senorita,SNIK,62799,2020-01-03--2020-01-10,gr,4Wc7eARS7kCa4oX2lQ8AxT
8,The Box,Roddy Ricch,62613,2020-01-03--2020-01-10,gr,0nbXyq5TXYPCO7pr3N8S4I
9,Guccci,Mad Clip,60363,2020-01-03--2020-01-10,gr,4AcWoNZHJ6tLBcKWifiTbC
10,everything i wanted,Billie Eilish,60257,2020-01-03--2020-01-10,gr,3ZCTVFBt2Brf31RLEnCkWJ
11,Yummy,Justin Bieber,58190,2020-01-03--2020-01-10,gr,41L3O37CECZt3N7ziG2z7l
12,ROXANNE,Arizona Zervas,54995,2020-01-03--2020-01-10,gr,696DnlkuDOXcMAnKlTgXXK
13,Blinding Lights,The Weeknd,53964,2020-01-03--2020-01-10,gr,0sf12qNH5qcw8qpgymFOqD
14,Don't Start Now,Dua Lipa,52337,2020-01-03--2020-01-10,gr,6WrI0LAC5M1Rw2MnX2ZvEg
15,Caliente,Mente Fuerte,52069,2020-01-03--2020-01-10,gr,3wjl3uPGckJUAeI5cRG0bZ
16,Colpo Grosso,SNIK,51996,2020-01-03--2020-01-10,gr,4lCwnBZurX0OIqMKBOHRlS
17,Stars,TOQUEL,47773,2020-01-03--2020-01-10,gr,3MkDbpHIHxmxOzqUAClMj3
18,My Oh My (feat. DaBaby),Camila Cabello,47727,2020-01-03--2020-01-10,gr,3yOlyBJuViE2YSGn3nVE1K
19,Business,TOQUEL,46390,2020-01-03--2020-01-10,gr,3gN3eHqeAp9NSQUAT9xtzg
