Position,Track Name,Artist,date,region,spotify_id
1,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2019-01-01,gr,27rdGxbavYJeBphck5MZAF
2,Calma - Remix,Pedro Capó,2019-01-01,gr,5iwz1NiezX7WWjnCgY5TH4
3,De Me Theloun,Fy,2019-01-01,gr,5z8K92vYj0FH6C05HAT2Ve
4,Trampoline,SHAED,2019-01-01,gr,0lsRatBUs9HNIZAmoGABzk
5,Going Bad (feat. Drake),Meek Mill,2019-01-01,gr,2IRZnDFmlqMuOrYOLnZZyc
6,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,2019-01-01,gr,74lnM5V6ecvoTPV0fvptx9
7,"thank u, next",Ariana Grande,2019-01-01,gr,2rPE9A1vEgShuZxxzR2tZH
8,Adan y Eva,Paulo Londra,2019-01-01,gr,6FyRXC8tJUh863JCkyWqtk
9,Space Cadet (feat. Gunna),Metro Boomin,2019-01-01,gr,1fewSx2d5KIZ04wsooEBOz
10,Kinitro,Mad Clip,2019-01-01,gr,75LKhuJQZbT0cudT1e38y8
11,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,2019-01-01,gr,1KVczjazCcCCgM3gXXUl47
12,Without Me,Halsey,2019-01-01,gr,5p7ujcrUXASCNwRaWNHR1C
13,80s,Joker Two-Face,2019-01-01,gr,6D97DtKfhAX0Ake7qefK0Z
14,Shallow,Lady Gaga,2019-01-01,gr,2VxeLyX666F8uXCJ0dZF8B
15,Saturday Nights,Khalid,2019-01-01,gr,5kfNriitmkNE8mUbZ7gbq8
16,whoa (mind in awe),XXXTENTACION,2019-01-01,gr,7pdF27mSDuPWhppnHAmWHa
17,Bitch Lasagna,Party in Backyard,2019-01-01,gr,0xGl8HKFncXK7aFZRTGZsr
18,Splashin,Rich The Kid,2019-01-01,gr,79OEIr4J4FHV0O3KrhaXRb
19,Grip,Seeb,2019-01-01,gr,3gicyfiEVMGONgzygpWjNT
20,KIKA,6ix9ine,2019-01-01,gr,6Gy7rXB6Ku5vIWC7WGWsl3
21,Gigi,Rina,2019-01-01,gr,3o8iPofGw7RfVfhRSBSV5e
22,Danza Kuduro,Don Omar,2019-01-01,gr,2a1o6ZejUi8U3wzzOtCOYw
23,Sds,Fy,2019-01-01,gr,6BEFFcOTHXDOqFnD6sy4Ku
24,Losing It,FISHER,2019-01-01,gr,6ho0GyrWZN3mhi9zVRW7xi
25,Lil Bebe (feat. Lil Baby) - Remix,DaniLeigh,2019-01-01,gr,2fwkl5Z8ujDtAh6qxEA5x0
26,Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN,2019-01-01,gr,6fIgsZFtGXiIvxb2Y6oCc7
27,Shea Butter Baby (with J. Cole),Ari Lennox,2019-01-01,gr,1CVAENDG5VY05pEHh0ViXL
28,In My Head,Peter Manos,2019-01-01,gr,1tT55K6VEyO6XFDxK4lDQe
29,Viomatiko,Slogan,2019-01-01,gr,36EDLzYzCuIB9hVWf7hxBL
30,Την Ψυχολογο,Fy,2019-01-01,gr,3Y14pnck4eYpjImPoix1uR
31,Twerk (feat. Cardi B),City Girls,2019-01-01,gr,4DyBx5MYoq8RsU33cEAIxT
32,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,Tory Lanez,2019-01-01,gr,51w9Jbat1pLeWINGCpnQUR
33,Pure Cocaine,Lil Baby,2019-01-01,gr,577YBGuskWkVDCxZrLRB4v
34,Hristougenna Xana,Helena Paparizou,2019-01-01,gr,4h4Euoy5Smiq4nxNqwCW9c
35,Someone You Loved,Lewis Capaldi,2019-01-01,gr,2TIlqbIneP0ZY1O0EzYLlc
36,Mo Bamba,Sheck Wes,2019-01-01,gr,1xzBco0xcoJEDXktl7Jxrr
37,Ti Na To Kano,Konstantinos Argiros,2019-01-01,gr,4SrNCId1Y1AtV8T374FeiI
38,Kane Hiliosta Ta Hiliometra,Nikos Makropoulos,2019-01-01,gr,0aA9JAYrC3T35pUyxYHvQH
39,Wakanda,Mente Fuerte,2019-01-01,gr,4tL76SvgLpcDxfcwKUbrAQ
40,10 Freaky Girls (with 21 Savage),Metro Boomin,2019-01-01,gr,0AluA5RNsa4Cx6XRhf2hWZ
41,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2019-01-01,gr,4w8niZpiMy6qz1mntFA5uM
42,Desconocidos,Mau y Ricky,2019-01-01,gr,0s5DNDV6LAKn2u2Ufa3VjQ
43,Dirty Dirty,Charlotte Cardin,2019-01-01,gr,4F8Dyy8n9WvCqt68qnQB1y
